sequence_id	sequence_length
511145.12	327
160490.10	358
36809.5	351
611301.289	331
568707.3	340
882.5	345
722472.8	360
100226.15	373
693978.3	336
380749.5	340
1736483.3	331
272943.9	360
649349.3	339
1578720.9	330
515635.4	339
608534.3	340
243274.5	325
441771.6	339
1203605.3	365
1812111.3	356
321332.11	333
189518.3	341
521095.6	355
537288.4	341
650150.7	343
349163.14	357
272635.4	314
471472.4	342
2162266.3	242
64091.14	502
349741.6	341
190304.8	338
165186.17	339
349307.15	493
2941327.3	341
1401079.3	345
52689.11	340
272634.6	341
689904.4	344
1064537.3	368
300852.9	350
1206109.5	329
243230.17	339
565034.3	339
339860.19	517
452637.7	347
234826.6	351
243090.15	347
394503.7	343
2115978.3	328
427317.9	465
272844.11	500
229919.9	355
1891241.459	333
436308.17	461
1560006.3	371
1896222.3	340
552811.9	344
1265350.3	329
2714958.4	332
891968.3	346
1121930.3	335
406327.12	501
655811.4	340
2109911.10	345
42094.4	336
1932692.91	341
1324935.3	342
2053306.72	338
716544.4	342
1936003.3	329
2744556.10	338
278208.13	219
1394711.4	346
379066.3	336
490899.14	514
1408467.3	336
2026885.4	333
2937800.4	351
1577791.3	506
2675781.3	332
2821536.3	366
444157.8	488
481448.7	351
247481.57	344
479434.6	347
263820.9	479
37692.4	341
1735162.9	339
344747.3	327
1051632.5	348
1163385.3	346
174633.135	257
2715251.15	378
525904.6	336
2053689.37	337
2849650.10	347
591198.3	373
2883571.16	334
1303518.3	364
1704307.4	336
262719.5	226
2665650.3	337
2670412.5	497
456827.3	344
176309.3	318
1879010.7329	344
372461.17	333
397948.10	498
525909.11	366
2030824.33	343
415426.13	498
42256.3	349
877466.40	349
1696036.3	341
1719126.3	250
2719987.3	346
2883565.11	344
309798.4	339
401619.11	243
1719125.3	329
1971488.3	339
2715251.16	394
2806609.3	368
36868.4	333
1427984.3	350
1579378.3	557
2026735.213	342
2030800.124	354
2200854.3	348
2569760.3	329
2601575.3	334
2840882.4	343
673862.3	344
1306947.3	346
1318617.3	340
1401685.3	338
1802984.7	328
1906166.3	345
1972134.3	334
2026724.900	343
228908.8	483
2558174.3	342
2601646.3	342
2715251.55	336
2802285.4	364
29523.365	343
369822.10	68
495820.6	374
