sequence_id	sequence_length
511145.12	327
1183379.4	330
224911.5	360
206672.9	351
295405.11	339
267747.3	369
390333.7	349
317013.84	320
189518.3	341
1499681.3	358
441771.6	339
349741.6	341
331636.3	341
411461.4	345
398578.5	350
190304.8	338
272634.6	341
192952.21	492
279238.18	366
1194088.4	511
565034.3	339
1564114.4	355
300852.9	350
907.4	341
334413.6	340
243230.17	339
59374.5	357
420247.28	514
2902423.3	347
1638221.3	500
1343158.3	356
267377.15	500
254945.26	328
552398.3	341
2602574.15	347
1229909.8	462
1202785.3	350
243090.15	347
1284686.3	340
1458469.3	351
583355.3	346
1123401.3	339
697329.10	339
53444.22	345
2795215.3	369
2821536.3	366
298653.7	370
1062.102	353
2883571.16	334
1121920.7	356
2852100.3	343
1637999.4	347
391009.9	324
1903058.8	335
1985113.115	330
52694.7	340
2849650.10	347
344747.3	327
2839016.10	346
2268201.25	347
2024824.23	335
765952.4	342
1236689.6	505
1303518.3	364
2735565.11	329
2044594.17	334
2886196.3	341
312540.4	487
2883565.11	344
401619.11	243
113566.3	353
266117.10	343
2806609.3	368
309798.4	339
2802963.3	345
490899.14	514
699246.3	343
999630.6	492
114.15	346
1123256.3	333
1217799.31	346
1273541.5	497
1278311.3	338
1410576.3	485
1448132.3	315
1577686.5	371
1986204.3	347
2675790.3	322
262719.5	226
2840882.4	343
42094.4	336
471821.5	339
521045.3	345
1041930.6	495
1002870.3	331
1233402.4	503
1306947.3	346
1324935.3	342
1315998.3	331
1308979.4	343
1379305.3	338
1401685.3	338
1514105.3	343
1609969.5	340
1579378.3	557
1696036.3	341
1653831.5	328
1671482.3	350
174633.139	331
174633.135	257
1719125.3	329
1812115.7	348
1878935.3	335
1899017.3	344
1906166.3	345
2024963.9	337
2003555.3	341
2026735.213	342
2030827.3	346
2026724.900	343
2030800.124	354
203907.6	335
2099665.9	339
2200854.3	348
228908.8	483
244328.197	349
2358428.3	340
247481.57	344
2569760.3	329
2601677.3	352
2601646.3	342
2715251.55	336
2719988.3	346
2770581.3	376
2802285.4	364
2828656.4	341
36849.5	339
36868.4	333
495820.6	374
525904.6	336
877466.33	348
