genome_id	genome_name
680646.3	Rothia mucilaginosa DY-18
2593304.3	Quadrisphaera sp. DD2A
397948.10	Caldivirga maquilingensis IC-167
1909293.21	Acetobacteraceae bacterium strain 880
411461.4	Dorea formicigenerans ATCC 27755
174633.173	Candidatus Kuenenia stuttgartiensis MH-21oct19-232
203907.6	Candidatus Blochmannia floridanus
1042377.3	Alteromonas sp. S89
2686014.3	Neorickettsia sp. Fin17
186490.3	Candidatus Baumannia cicadellinicola strain BGSS
1325130.3	Helicobacter fennelliae MRY12-0050
272633.4	Mycoplasma penetrans HF-2
2268201.25	Synergistales bacterium strain UFZ-4H10
81460.5	Mesoplasma lactucae ATCC 49193 strain 831-C4
131112.72	Arcanobacterium phocae strain IN-5A
634113.3	Arsenophonus symbiont of Lipoptena fortisetosa strain CB
262719.5	Mycoplasma hyopneumoniae J
1675686.5	Sulfurifustis variabilis strain skN76
2665650.3	Candidatus Udaeobacter sp. strain AEW3
471821.5	uncultured Termite group 1 bacterium phylotype Rs-D17
398578.5	Delftia acidovorans SPH-1
699246.3	Clostridiales genomosp. BVAB3 str. UPII9-5
1578199.4	Brevibacillus sp. SYP-B805
190304.8	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
1122189.3	Malonomonas rubra DSM 5091
2495426.3	Candidatus Methanosuratus sp. strain Ch88
1266370.3	Nitrospina gracilis 3/211
2884263.3	Aquihabitans sp. Kera 3
2053582.7	Neisseriales bacterium strain Fred_18-Q3-R57-64_MAXAC.425_cln
203123.7	Oenococcus oeni PSU-1
1267534.3	Acidobacteriaceae bacterium KBS 89
1415780.3	Algiphilus aromaticivorans DG1253
2715251.4	Candidatus Paceibacter sp. strain bin98o
113570.3	Actinoplanes palleronii strain NBRC 14916
1033731.3	Alistipes sp. JC136
1727.3	Corynebacterium variabile strain NRRL B-4201
426355.14	Methylobacterium radiotolerans JCM 2831
243090.15	Rhodopirellula baltica SH 1
171282.4	Mycoplasma columborale strain NCTC10179
1935139.3	Euryarchaeota archaeon JdFR-21 strain JdFR-21
546269.5	Filifactor alocis ATCC 35896
980251.5	Mariniblastus fucicola strain FC18
913107.6	Pelolinea submarina strain DSM 23923
340099.6	Thermoanaerobacter pseudethanolicus ATCC 33223
439235.4	Desulfatibacillum alkenivorans AK-01
991789.25	Anaerotignum propionicum DSM 1682 strain X2
1885344.4	Rubrivirga sp. strain SW42617_bin_3
1122218.3	Meganema perideroedes DSM 15528
1208321.3	Marinomonas sp. D104
1341157.4	Ruminococcus flavefaciens 007c
2293433.3	Rhodohalobacter sp. SW132
191863.3	Chthoniobacter flavus strain DSM 22515
2044936.128	Bacteroidia bacterium strain M30B35
2294035.3	Halomicronema excentricum str. Lakshadweep
1352.14276	Enterococcus faecium Sample_1
298653.7	Frankia sp. EAN1pec
1008392.4	Chitinispirillum alkaliphilum strain ACht6-1
2864219.3	Hymenobacter sp. KCTC 23674
2558277.3	Granulicatella sp. WM01
585199.3	Mobiluncus mulieris ATCC 35243
880073.4	Caldithrix abyssi DSM 13497
521460.8	Caldicellulosiruptor bescii DSM 6725
547188.13	Phycisphaera mikurensis strain DSM 103959
1696036.11	Candidatus Finniella inopinata MsE-30apr19-54
2528007.3	Planctomycetes bacterium Pla110
2607614.9	Tissierella pigra strain MSJ-22
1678840.5	Flexilinea flocculi strain TC1
2764326.3	Fusobacterium sp. NSJ-57
411483.3	Faecalibacterium prausnitzii A2-165
1331910.7	Thermogutta terrifontis strain R1
1194088.4	Halorubrum sp. T3
321967.11	Lactobacillus casei ATCC 334
388746.3	Puniceicoccus vermicola strain JCM14086
2124.7	Mycoplasma salivarium ATCC 14277
1051662.3	Rhodococcus fascians A44A A44a
712991.3	Lachnospiraceae bacterium oral taxon 500 strain W11650
459.19	Legionella sp. strain MCMED-G38
1579378.3	archaeon GW2011_AR20
1858795.3	Thermobacillus sp. ZCTH02-B1 strain ZCTH02-B1
877466.33	Thermoflexus hugenholtzii JAD2 TH-11nov19-82
869210.3	Marinithermus hydrothermalis DSM 14884
880071.3	Flexibacter litoralis DSM 6794
1176533.3	Luteimonas sp. Gr-4
1536648.8	Dehalogenimonas sp. GP
521098.5	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
98785.40	Buchnera aphidicola (Aphis gossypii) KR
670487.3	Oceanithermus profundus DSM 14977
349741.6	Akkermansia muciniphila ATCC BAA-835
374463.5	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)
34021.238	Candidatus Liberibacter asiaticus ReuSP1
745014.4	gamma proteobacterium HIMB55
1895716.3	Candidatus Amoebophilus sp. 36-38
59374.5	Fibrobacter succinogenes subsp. succinogenes S85
2218525.3	Candidatus Termititenax persephonae strain NkOx7-02
2080239.3	Ornatilinea sp. strain SM3-B12.1
2828656.4	Spirochaetales bacterium F1F22
583355.3	Coraliomargarita akajimensis DSM 45221
1379858.3	Mucispirillum schaedleri ASF457
456827.3	Candidatus Cloacamonas acidaminovorans
2601677.3	Chloroflexi bacterium 3753O
537972.5	Helicobacter pullorum MIT 98-5489
2840932.3	Candidatus Scatoplasma merdavium BRZ_KK__bin21
1594731.5	Candidatus Westeberhardia cardiocondylae Cmi
2726201.3	Olsenella sp. KGMB02461
1778264.4	Candidatus Mikella endobia strain MEPMAR
565034.3	Brachyspira hyodysenteriae WA1
981385.3	Thermotomaculum hydrothermale strain AC55
2717857.6	Vampirovibrio sp. DET50b
1566284.3	Bacillus sp. NFR08
1534747.3	Sporomusa sp. GT1
1274402.6	Candidatus Hepatobacter penaei strain NHPB
374847.13	Candidatus Korarchaeum cryptofilum OPF8
2480626.3	Actinobacteria bacterium 15TR583 strain 15Tr583
