genome_id	genome_name	score
511145.12	Escherichia coli str. K-12 substr. MG1655	54015
411483.3	Faecalibacterium prausnitzii A2-165	37174
411474.92	Coprococcus eutactus ATCC 27759 strain FDAARGOS_1581	6530
657313.3	Ruminococcus torques L2-14	6204
707003.275	uncultured Oscillospiraceae bacterium min17_bin21	3717
717961.3	Eubacterium siraeum V10Sc8a	3637
1969565.3	Eubacterium sp. LMAG:57	3134
1033731.3	Alistipes sp. JC136	2539
2049035.8	Mogibacterium sp. strain 15WH	2464
411461.4	Dorea formicigenerans ATCC 27755	2138
420247.28	Methanobrevibacter smithii ATCC 35061	1827
907.4	Megasphaera elsdenii DSM 20460	1728
264199.4	Streptococcus thermophilus LMG 18311	1465
411475.3	Flavonifractor plautii ATCC 29863	1230
295405.11	Bacteroides fragilis YCH46	1218
2292005.3	Butyricicoccus sp. AM18-35	1043
1898207.3492	Clostridiales bacterium strain MGYG-HGUT-01502	1042
688246.3	Prevotella multisaccharivorax DSM 17128	848
1969167.3	Blautia sp. LMAG:30	637
665956.3	Subdoligranulum sp. 4_3_54A2FAA	596
2789326.3	Oscillospiraceae bacterium CM	462
1499681.3	Collinsella sp. MS5	396
2840870.3	Candidatus Merdivicinus intestinigallinarum strain ChiBcec18-2170	360
679199.3	Alloprevotella rava F0323	346
2014781.3	Neglecta sp. Marseille-P3890	340
1776390.3	Peptoniphilus sp. KHD5	319
1458469.3	Pseudobutyrivibrio ruminis HUN009	313
575615.3	Prevotella sp. oral taxon 317 str. F0108	309
169435.7	Anaerotruncus colihominis strain An251	232
2864219.3	Hymenobacter sp. KCTC 23674	229
626937.26	Christensenella minuta strain DSM 22607	214
244328.199	uncultured Clostridia bacterium min17_bin58	208
868864.3	Desulfurobacterium thermolithotrophum DSM 11699	207
1410617.3	Ruminococcus sp. FC2018	203
244328.198	uncultured Clostridia bacterium min17_bin68	201
2763032.3	Butyricimonas sp. NSJ-56	200
1462919.3	Mobilitalea sibirica strain DSM 26468	198
883.4	Desulfovibrio vulgaris str. 'Miyazaki F'	189
244328.197	uncultured Clostridia bacterium min17_bin01	187
2508949.3	Candidatus Borkfalki ceftriaxensis strain HDS1380	186
297314.1191	uncultured Lachnospiraceae bacterium min17_bin08	184
2485926.5	Atopobiaceae bacterium strain MGYG-HGUT-02405	183
2499629.3	Chitinophagaceae bacterium HME-24	182
2086585.3	Christensenella sp. Marseille-P3954	181
479437.5	Eggerthella lenta DSM 2243	180
1906605.3	Paenibacillaceae bacterium JTherm	176
2760807.28	Lewinellaceae bacterium strain HK-STAS-BACT-26	170
518766.7	Rhodothermus marinus DSM 4252	162
2109911.10	Candidatus Amulumruptor caecigallinarius NALB_7821a_14	162
2903142.6	Rhabdothermincola sp. EGI L10124	161
206672.9	Bifidobacterium longum NCC2705	159
1903261.3	Desulfovibrio sp. Marseille-P3199 strain Marseille-P3199	157
1716143.16	Pseudodesulfovibrio indicus strain DSM 101483	153
944560.4	Actinomyces sp. oral taxon 175 str. F0384	152
546269.5	Filifactor alocis ATCC 35896	148
1161401.3	Maricaulis sp. JL2009	142
2099665.9	Ardenticatenia bacterium strain EsbW_18-Q3-R4-48_MAXAC.090	142
29343.3	"[Clostridium] cellulosi strain DG5"	141
380394.4	Acidithiobacillus ferrooxidans ATCC 53993	140
796939.3	Eubacteriaceae bacterium CM2	139
1121476.3	Dethiosulfatibacter aminovorans DSM 17477	137
2026724.1155	Chloroflexi bacterium strain Kalu_18-Q3-R12-55_BAT3C.186	137
292459.5	Symbiobacterium thermophilum IAM 14863	136
2721128.3	Candidatus Heteroclostridium caecigallinarum strain Chicken_24_mag_188	134
1262751.3	Bacteroides sp. CAG:770	133
37923.8	Kocuria kristinae strain RSA28	132
91750.1140	uncultured Alphaproteobacteria bacterium min17_bin80	131
2922716.3	Fundidesulfovibrio sp. SG60	130
1042377.3	Alteromonas sp. S89	128
2030824.24	Phycisphaera sp. strain RI_212	127
1898203.3468	Lachnospiraceae bacterium UW_TS_LCO2_1	126
1262794.3	Clostridium sp. CAG:306	126
1307759.4	Desulfovibrio sp. L21-Syr-AB	125
224911.5	Bradyrhizobium japonicum USDA 110	125
525909.11	Acidimicrobium ferrooxidans DSM 10331	123
2866311.3	Ruficoccus sp. ZRK36	123
638301.3	Granulicatella adiacens ATCC 49175	123
1810504.3	Gammaproteobacteria bacterium TR3.2	122
34034.14	uncultured delta proteobacterium strain 86	122
156994.4	Reichenbachiella agariperforans strain DSM 26134	121
877466.5	Thermoflexus hugenholtzii JAD2 strain JAD2	120
1121903.5	Hugenholtzia roseola DSM 9546	119
2855394.3	Crassaminicella sp. 143-21	119
760192.3	Haliscomenobacter hydrossis DSM 1100	119
2864136.3	Pontibacter sp. HSC-14F20	118
52694.7	Acetobacterium wieringae strain JM	114
321967.11	Lactobacillus casei ATCC 334	114
240016.6	Verrucomicrobium spinosum DSM 4136	114
1702221.14	Faecalibaculum rodentium strain Alo17 strain ALO17	113
1628191.3	Brevundimonas sp. KM4	113
53443.32	Blautia hydrogenotrophica strain MGYG-HGUT-00035	113
648999.4	Micromonospora sp. L5	112
877415.3	Erysipelotrichaceae bacterium NK3D112	112
1341157.4	Ruminococcus flavefaciens 007c	110
1218074.4	Burkholderia acidipaludis NBRC 101816	110
471821.5	uncultured Termite group 1 bacterium phylotype Rs-D17	108
2802963.3	Candidatus Aquidulcis sp. strain FI88_2_58_12	108
1906166.3	Candidatus Caenarcanum bioreactoricola strain UASB_169	107
1121920.7	Geothrix fermentans DSM 14018	107
2093367.3	Desulfarculus sp. strain SURF_10 strain not applicable	106
547188.13	Phycisphaera mikurensis strain DSM 103959	106
2675786.3	Enterobacteriaceae endosymbiont of Donacia thalassina strain DthaSym	105
381764.8	Fervidobacterium nodosum Rt17-B1	102
83771.33	Succinivibrio dextrinosolvens strain ASCUSBF53	102
1121390.3	Desulfacinum hydrothermale DSM 13146 strain DSM 13146	102
2849779.3	Aquihabitans sp. G128	101
2726201.3	Olsenella sp. KGMB02461	100
398578.5	Delftia acidovorans SPH-1	100
39480.4	Andreesenia angusta strain DSM 1989	100
192.50	Azospirillum brasilense strain Sp7	99
932004.5	uncultured Marinoscillum sp. strain AG-895-E03	99
1380390.4	Solirubrobacterales bacterium URHD0059	99
1653831.45	Blattabacterium cuenoti strain ALLACaus	98
1931216.3	Lentisphaera sp. strain SulCav_AS07-7_55_126	98
794903.4	Opitutaceae bacterium TAV5	98
2594476.3	Carboxylicivirga sp. M1479	97
2780086.3	Sandaracinobacter sp. SZY PN-1	97
2231648.3	Vibrio sp. G62	97
1882752.42	Singulisphaera sp. GP187 AE-24oct19-175	97
1122605.3	Niabella aurantiaca DSM 17617	96
59374.5	Fibrobacter succinogenes subsp. succinogenes S85	96
1903720.442	Bacilli bacterium UW_DM_BACIL1_1	95
1682490.3	Ferrigenium kumadai strain An22	95
174633.135	Candidatus Kuenenia stuttgartiensis GH-07nov19-223	95
1379910.4	Rufibacter sp. DG31D	94
2203219.4	Chitinophaga sp. T22	94
1987381.4	Spirosoma agri strain KCTC 52727	93
2202731.8	Kiritimatiellales bacterium strain F21	93
236753.3	Fastidiosipila sanguinis strain CCUG 47711	93
2094562.3	Siphonobacter curvatus strain HR-U	92
99117.3	Microlunatus capsulatus strain DSM 12936	92
439235.4	Desulfatibacillum alkenivorans AK-01	92
2760313.3	Tessaracoccus sp. MC1679 strain not applicable	92
2742965.10	Thalassolituus sp. ST750PaO-4	92
937777.3	Deinococcus peraridilitoris DSM 19664	91
2675787.3	Enterobacteriaceae endosymbiont of Donacia tomentosa strain DtomSym	91
1594731.7	Candidatus Westeberhardia cardiocondylae Cma	90
1670831.3	Egibacter rhizosphaerae strain EGI 80759	90
479430.3	Actinospica robiniae DSM 44927	90
455632.4	Streptomyces griseus subsp. griseus NBRC 13350	89
991789.25	Anaerotignum propionicum DSM 1682 strain X2	89
2499687.15	Caldisericum sp. 2016_B01_C_4	88
908846.3	Pseudoclavibacter caeni strain JCM 16921	88
2480626.3	Actinobacteria bacterium 15TR583 strain 15Tr583	88
712991.3	Lachnospiraceae bacterium oral taxon 500 strain W11650	88
993689.15	Metallibacterium scheffleri strain DKE6	87
332175.3	Desulfosalsimonas propionicica strain DSM 17721	87
2656650.3	Auraticoccus sp. F435	87
867903.3	Thermaerobacter subterraneus DSM 13965	86
138072.46	Candidatus Hamiltonella defensa strain china	86
1637999.4	Verrucomicrobia bacterium IMCC26134	86
1735162.9	Candidatus Peribacter riflensis strain RIFOXYD1_FULL_PER-ii_59_16	86
1633631.8	Candidatus Kryptonium thompsoni strain JGI-4	85
1965617.3	Elusimicrobium sp. An273 strain An273	85
932217.10	Anaerosalibacter bizertensis strain N103	85
298653.7	Frankia sp. EAN1pec	85
382464.3	Verrucomicrobiae bacterium DG1235	84
1747223.3	Acidisphaera sp. S103	84
443906.13	Clavibacter michiganensis subsp. michiganensis NCPPB 382	84
314285.4	Congregibacter litoralis KT71	84
1765737.5	Dissulfurirhabdus thermomarina strain SH388	84
1457365.3	Bacteroidetes bacterium Omega	84
1264899.3	Zavarzinia compransoris strain DSM 1231	84
938288.5	Clostridiales bacterium 9401234	83
1837344.3	Propioniciclava sinopodophylli strain KCTC 33808	83
2124.7	Mycoplasma salivarium ATCC 14277	83
1121389.3	Desmospora activa DSM 45169	82
