genome_id	genome.genome_name
511145.12	Escherichia coli str. K-12 substr. MG1655
1183379.4	Campylobacter coli RM4661
224911.5	Bradyrhizobium japonicum USDA 110
206672.9	Bifidobacterium longum NCC2705
262316.17	Mycobacterium avium subsp. paratuberculosis K-10
295405.11	Bacteroides fragilis YCH46
1346614.3	Serratia liquefaciens ATCC 27592
634499.3	Erwinia pyrifoliae Ep1/96
416269.6	Actinobacillus pleuropneumoniae serovar 5b str. L20
555970.3	Bifidobacterium animalis subsp. lactis DSM 10140
311403.8	Agrobacterium radiobacter K84
264199.4	Streptococcus thermophilus LMG 18311
267747.3	Propionibacterium acnes KPA171202
390333.7	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842
71421.8	Haemophilus influenzae Rd KW20
317013.84	Xanthomonas phaseoli pv. phaseoli ATCC 49119
1500286.3	Chryseobacterium sp. OV259
435590.9	Bacteroides vulgatus ATCC 8482
997889.3	Bacteroides uniformis CL03T00C23
321967.11	Lactobacillus casei ATCC 334
189518.3	Leptospira interrogans serovar Lai str. 56601
380703.7	Aeromonas hydrophila subsp. hydrophila ATCC 7966
220668.9	Lactobacillus plantarum WCFS1
40041.239	Streptococcus equi subsp. zooepidemicus strain NVSLBI19
313598.6	Polaribacter sp. MED152
192222.6	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
529507.6	Proteus mirabilis HI4320
265668.17	Vibrio ponticus strain DSM 16217
272563.8	Clostridium difficile 630
272623.7	Lactococcus lactis subsp. lactis Il1403
208964.12	Pseudomonas aeruginosa PAO1
1218074.4	Burkholderia acidipaludis NBRC 101816
160490.10	Streptococcus pyogenes M1 GAS
471870.8	Bacteroides intestinalis DSM 17393
455632.4	Streptomyces griseus subsp. griseus NBRC 13350
765698.3	Mesorhizobium ciceri biovar biserrulae WSM1271
93061.5	Staphylococcus aureus subsp. aureus NCTC 8325
100226.15	Streptomyces coelicolor A3(2)
326442.8	Pseudoalteromonas haloplanktis TAC125
199.248	Campylobacter concisus strain ATCC 33237
85962.8	Helicobacter pylori 26695
226185.9	Enterococcus faecalis V583
1297750.4	Bacteroides luti strain DSM 26991
66084.3	Wolbachia sp. wRi
393305.7	Yersinia enterocolitica subsp. enterocolitica 8081
272624.6	Legionella pneumophila subsp. pneumophila str. Philadelphia 1
342451.11	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305
1429851.3	Stenotrophomonas maltophilia 5BA-I-2
171101.6	Streptococcus pneumoniae R6
243277.26	Vibrio cholerae O1 biovar El Tor str. N16961
1499681.3	Collinsella sp. MS5
990998.3	Vibrio ordalii ATCC 33509
937773.3	Staphylococcus pseudintermedius HKU10-03
266834.11	Sinorhizobium meliloti 1021
272621.13	Lactobacillus acidophilus NCFM
568707.3	Bordetella bronchiseptica 253
1443941.6	Acinetobacter gandensis strain CCUG 68482
441771.6	Clostridium botulinum A str. Hall
401473.3	Bifidobacterium dentium Bd1
568814.3	Streptococcus suis BM407
176299.10	Agrobacterium fabrum str. C58
83332.12	Mycobacterium tuberculosis H37Rv
203120.7	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293
272843.6	Pasteurella multocida subsp. multocida str. Pm70
242231.10	Neisseria gonorrhoeae FA 1090
