genome_id	genome_name	RepGen.200	RepGen.100	RepGen.50
1034346.38	Clostridiaceae bacterium clonal population	1034346.3	1034346.3	39483.100
1073387.38	Bacteroides fragilis clonal population	817.356	821.555	821.555
1073388.40	Bacteroides fragilis clonal population	817.356	821.555	821.555
1099853.164	Coprobacter fastidiosus clonal population	1349822.6	2516961.3	28126.4
1099853.166	Coprobacter fastidiosus clonal population	1349822.6	2516961.3	28126.4
1099853.168	Coprobacter fastidiosus clonal population	1349822.6	2516961.3	28126.4
1099853.169	Coprobacter fastidiosus clonal population	1349822.6	2516961.3	28126.4
1118061.534	Alistipes obesi clonal population	2585118.22	2364787.3	2364787.3
1121098.195	Bacteroides massiliensis clonal population	821.555	821.555	821.555
1121098.196	Bacteroides massiliensis clonal population	821.555	821.555	821.555
1121098.197	Bacteroides massiliensis clonal population	821.555	821.555	821.555
1121101.64	Bacteroides salyersiae clonal population	1347393.5	821.555	821.555
1122957.149	Phascolarctobacterium faecium clonal population	1122957.3	1122957.3	591001.3
1122957.158	Phascolarctobacterium faecium clonal population	1122957.3	1122957.3	591001.3
1123282.17	Sporobacter termitidis clonal population	1879010.3111	1123282.17	2699752.4
1123282.19	Sporobacter termitidis clonal population	1879010.3111	1123282.19	2699752.4
114712.62	uncultured Azospirillum clonal population	1977087.83	114712.4	114712.4
114712.65	uncultured Azospirillum clonal population	114712.7	114712.4	114712.4
114712.68	uncultured Azospirillum clonal population	114712.7	114712.4	114712.4
114712.71	uncultured Azospirillum clonal population	1977087.83	114712.4	114712.4
114712.72	uncultured Azospirillum clonal population	114712.7	114712.4	114712.4
114712.73	uncultured Azospirillum clonal population	114712.7	114712.4	114712.4
114712.74	uncultured Azospirillum clonal population	1977087.83	114712.4	114712.4
114712.75	uncultured Azospirillum clonal population	1977087.83	114712.4	114712.4
114712.76	uncultured Azospirillum clonal population	1977087.83	114712.4	114712.4
1203554.127	Sutterella wadsworthensis clonal population	40545.1270	286133.70	518.56
1203554.128	Sutterella wadsworthensis clonal population	40545.1270	286133.70	518.56
1203608.33	Bacteroides nordii clonal population	1347393.5	821.555	821.555
1203608.35	Bacteroides nordii clonal population	1347393.5	821.555	821.555
1203608.38	Bacteroides nordii clonal population	1347393.5	821.555	821.555
1203611.47	Alistipes onderdonkii clonal population	328813.45	2364787.3	2364787.3
1203611.48	Alistipes onderdonkii clonal population	328813.45	2364787.3	2364787.3
1211813.108	Alistipes sp. AP11 clonal population	1211813.3	2364787.3	2364787.3
1211813.109	Alistipes sp. AP11 clonal population	1211813.3	2364787.3	2364787.3
1235788.13	Bacteroides massiliensis clonal population	821.555	821.555	821.555
1262684.309	Acetobacter sp. CAG:267 clonal population	114714.6	1262684.309	114712.4
1262684.312	Acetobacter sp. CAG:267 clonal population	114714.6	1262684.312	114712.4
1262684.318	Acetobacter sp. CAG:267 clonal population	114714.6	1262684.318	114712.4
1262684.319	Acetobacter sp. CAG:267 clonal population	114714.6	1262684.319	114712.4
1262684.320	Acetobacter sp. CAG:267 clonal population	114714.6	1262684.320	114712.4
1262690.21	Acinetobacter sp. CAG:196 clonal population	1262690.3	221953.5	59620.2332
1262690.22	Acinetobacter sp. CAG:196 clonal population	1262690.3	221953.5	59620.2332
1262690.25	Acinetobacter sp. CAG:196 clonal population	1262690.3	221953.5	59620.2332
1262690.26	Acinetobacter sp. CAG:196 clonal population	1262690.3	221953.5	59620.2332
1262690.27	Acinetobacter sp. CAG:196 clonal population	1262690.3	221953.5	59620.2332
1262690.28	Acinetobacter sp. CAG:196 clonal population	1262690.3	221953.5	59620.2332
1262691.63	Akkermansia sp. CAG:344 clonal population	349741.6	349741.6	349741.6
1262697.303	Alistipes sp. CAG:53 clonal population	328813.45	2364787.3	2364787.3
1262697.304	Alistipes sp. CAG:53 clonal population	328813.45	2364787.3	2364787.3
1262697.307	Alistipes sp. CAG:53 clonal population	328813.45	2364787.3	2364787.3
1262697.311	Alistipes sp. CAG:53 clonal population	328813.45	2364787.3	2364787.3
1262697.314	Alistipes sp. CAG:53 clonal population	328813.45	2364787.3	2364787.3
1262697.324	Alistipes sp. CAG:53 clonal population	328813.45	2364787.3	2364787.3
1262697.328	Alistipes sp. CAG:53 clonal population	328813.45	2364787.3	2364787.3
1262697.332	Alistipes sp. CAG:53 clonal population	328813.45	2364787.3	2364787.3
