sequence_id	sequence_length
511145.12	984
160490.10	1077
36809.5	1056
611301.289	996
568707.3	1023
882.5	1038
722472.8	1083
100226.15	1122
693978.3	1011
380749.5	1023
1736483.3	996
272943.9	1083
649349.3	1020
1578720.9	993
515635.4	1020
608534.3	1023
243274.5	978
441771.6	1020
1203605.3	1098
1812111.3	1071
321332.11	1002
189518.3	1026
521095.6	1068
537288.4	1026
650150.7	1032
349163.14	1074
272635.4	945
471472.4	1029
2162266.3	726
64091.14	1509
349741.6	1026
190304.8	1017
165186.17	1020
349307.15	1482
2941327.3	1026
1401079.3	1038
52689.11	1023
272634.6	1026
689904.4	1035
1064537.3	1107
300852.9	1053
1206109.5	990
243230.17	1020
565034.3	1020
339860.19	1554
452637.7	1044
234826.6	1056
243090.15	1044
394503.7	1032
2115978.3	987
427317.9	1398
272844.11	1503
229919.9	1068
1891241.459	1002
436308.17	1386
1560006.3	1116
1896222.3	1023
552811.9	1035
1265350.3	990
2714958.4	999
891968.3	1041
1121930.3	1008
406327.12	1506
655811.4	1023
2109911.10	1038
42094.4	1011
1932692.91	1026
1324935.3	1029
2053306.72	1017
716544.4	1029
1936003.3	990
2744556.10	1017
278208.13	657
1394711.4	1041
379066.3	1011
490899.14	1545
1408467.3	1011
2026885.4	1002
2937800.4	1056
1577791.3	1521
2675781.3	999
2821536.3	1101
444157.8	1467
481448.7	1056
247481.57	1035
479434.6	1044
263820.9	1440
37692.4	1026
1735162.9	1020
344747.3	984
1051632.5	1047
1163385.3	1041
174633.135	771
2715251.15	1137
525904.6	1011
2053689.37	1014
2849650.10	1044
591198.3	1122
2883571.16	1005
1303518.3	1095
1704307.4	1011
262719.5	681
2665650.3	1014
2670412.5	1494
456827.3	1035
176309.3	954
1879010.7329	1035
372461.17	1002
397948.10	1497
525909.11	1101
2030824.33	1032
415426.13	1497
42256.3	1050
877466.40	1050
1696036.3	1026
1719126.3	753
2719987.3	1041
2883565.11	1035
309798.4	1020
401619.11	732
1719125.3	990
1971488.3	1020
2715251.16	1185
2806609.3	1107
36868.4	1002
1427984.3	1053
1579378.3	1674
2026735.213	1029
2030800.124	1065
2200854.3	1047
2569760.3	990
2601575.3	1005
2840882.4	1032
673862.3	1035
1306947.3	1041
1318617.3	1023
1401685.3	1017
1802984.7	987
1906166.3	1038
1972134.3	1005
2026724.900	1032
228908.8	1452
2558174.3	1029
2601646.3	1029
2715251.55	1011
2802285.4	1095
29523.365	1032
369822.10	1050
495820.6	1125
